排名,学校名称,类型,省份,分值,
149,汕头大学,综合,广东,59.76,
150,陕西科技大学,理工,陕西,59.55,
151,长春理工大学,理工,吉林,59.41,
152,延边大学,综合,吉林,59.35,
152*,中南民族大学,民族,湖北,59.35,
153,沈阳农业大学,农林,辽宁,59.25,
153*,成都中医药大学,医药,四川,59.25,
154,三峡大学,综合,湖北,59.08,
155,河北农业大学,农林,河北,58.92,
155*,中央音乐学院,艺术,北京,58.92,
156,青岛科技大学,理工,山东,58.86,
156*,广州中医药大学,医药,广东,58.86,
156*,北京工商大学,财经,北京,58.86,
157,济南大学,综合,山东,58.78,
157*,山东财经大学,财经,山东,58.78,
158,安徽农业大学,农林,安徽,58.54,
158*,天津中医药大学,医药,天津,58.54,
159,宁夏大学,综合,宁夏,58.42,
160,齐鲁工业大学,理工,山东,58.39,
161,吉林农业大学,农林,吉林,58.33,
161*,中国人民公安大学,政法,北京,58.33,
162,上海海洋大学,农林,上海,58.24,
162*,广西医科大学,医药,广西,58.24,
162*,上海对外经贸大学,财经,上海,58.24,
163,辽宁师范大学,师范,辽宁,58.14,
164,四川师范大学,师范,四川,58.01,
165,西安科技大学,理工,陕西,57.96,
166,重庆交通大学,理工,重庆,57.83,
167,杭州师范大学,师范,浙江,57.77,
167*,福建医科大学,医药,福建,57.77,
168,哈尔滨理工大学,理工,黑龙江,57.61,
168*,天津财经大学,财经,天津,57.61,
169,东北电力大学,理工,吉林,57.52,
